Id_Access-to-clean-fuels-and-technologies,Id_Entity,Code,Year,Indicador%,Outlier_Indicador%
0,0,AFG,2000,6.2,1
1,0,AFG,2001,7.2,1
2,0,AFG,2002,8.2,1
3,0,AFG,2003,9.5,1
4,0,AFG,2004,10.9,1
5,0,AFG,2005,12.2,1
6,0,AFG,2006,13.85,1
7,0,AFG,2007,15.3,1
8,0,AFG,2008,16.7,1
9,0,AFG,2009,18.4,1
10,0,AFG,2010,20.0,1
11,0,AFG,2011,21.8,1
12,0,AFG,2012,23.0,1
13,0,AFG,2013,24.8,1
14,0,AFG,2014,26.1,1
15,0,AFG,2015,27.4,1
16,0,AFG,2016,28.6,1
17,0,AFG,2017,29.7,1
18,0,AFG,2018,30.9,1
19,0,AFG,2019,31.9,1
20,0,AFG,2020,33.2,1
21,1,Sin Informacion,2000,13.5,1
22,1,Sin Informacion,2001,13.6,1
23,1,Sin Informacion,2002,13.8,1
24,1,Sin Informacion,2003,13.9,1
25,1,Sin Informacion,2004,14.1,1
26,1,Sin Informacion,2005,14.3,1
27,1,Sin Informacion,2006,14.5,1
28,1,Sin Informacion,2007,14.7,1
29,1,Sin Informacion,2008,14.9,1
30,1,Sin Informacion,2009,15.2,1
31,1,Sin Informacion,2010,15.4,1
32,1,Sin Informacion,2011,15.7,1
33,1,Sin Informacion,2012,16.0,1
34,1,Sin Informacion,2013,16.3,1
35,1,Sin Informacion,2014,16.6,1
36,1,Sin Informacion,2015,17.0,1
37,1,Sin Informacion,2016,17.5,1
38,1,Sin Informacion,2017,18.0,1
39,1,Sin Informacion,2018,18.6,1
40,1,Sin Informacion,2019,19.2,1
41,1,Sin Informacion,2020,19.8,1
42,4,ALB,2000,38.2,1
43,4,ALB,2001,40.5,1
44,4,ALB,2002,43.2,1
45,4,ALB,2003,46.4,1
46,4,ALB,2004,49.0,1
47,4,ALB,2005,51.9,1
48,4,ALB,2006,54.8,1
49,4,ALB,2007,58.1,1
50,4,ALB,2008,60.8,1
51,4,ALB,2009,63.6,1
52,4,ALB,2010,66.5,1
53,4,ALB,2011,68.9,1
54,4,ALB,2012,71.3,1
55,4,ALB,2013,73.15,1
56,4,ALB,2014,74.6,1
57,4,ALB,2015,76.2,1
58,4,ALB,2016,77.8,1
59,4,ALB,2017,78.7,1
60,4,ALB,2018,79.8,1
61,4,ALB,2019,80.7,1
62,4,ALB,2020,81.3,1
63,5,DZA,2000,97.1,1
64,5,DZA,2001,97.3,1
65,5,DZA,2002,97.8,1
66,5,DZA,2003,98.0,1
67,5,DZA,2004,98.2,1
68,5,DZA,2005,98.5,1
69,5,DZA,2006,98.7,1
70,5,DZA,2007,98.8,1
71,5,DZA,2008,99.0,1
72,5,DZA,2009,99.1,1
73,5,DZA,2010,99.2,1
74,5,DZA,2011,99.3,1
75,5,DZA,2012,99.4,1
76,5,DZA,2013,99.4,1
77,5,DZA,2014,99.5,1
78,5,DZA,2015,99.5,1
79,5,DZA,2016,99.6,1
80,5,DZA,2017,99.6,1
81,5,DZA,2018,99.6,1
82,5,DZA,2019,99.7,1
83,5,DZA,2020,99.7,1
84,0,Sin Informacion,2000,87.4,1
85,0,Sin Informacion,2001,87.8,1
86,0,Sin Informacion,2002,88.3,1
87,0,Sin Informacion,2003,88.6,1
88,0,Sin Informacion,2004,89.0,1
89,0,Sin Informacion,2005,89.4,1
90,0,Sin Informacion,2006,89.6,1
91,0,Sin Informacion,2007,89.9,1
92,0,Sin Informacion,2008,90.3,1
93,0,Sin Informacion,2009,90.5,1
94,0,Sin Informacion,2010,90.7,1
95,0,Sin Informacion,2011,90.9,1
96,0,Sin Informacion,2012,91.1,1
97,0,Sin Informacion,2013,91.3,1
98,0,Sin Informacion,2014,91.6,1
99,0,Sin Informacion,2015,91.7,1
100,0,Sin Informacion,2016,91.9,1
101,0,Sin Informacion,2017,92.1,1
102,0,Sin Informacion,2018,92.2,1
103,0,Sin Informacion,2019,92.4,1
104,0,Sin Informacion,2020,92.5,1
105,316,AND,2000,100.0,1
106,316,AND,2001,100.0,1
107,316,AND,2002,100.0,1
108,316,AND,2003,100.0,1
109,316,AND,2004,100.0,1
110,316,AND,2005,100.0,1
111,316,AND,2006,100.0,1
112,316,AND,2007,100.0,1
113,316,AND,2008,100.0,1
114,316,AND,2009,100.0,1
115,316,AND,2010,100.0,1
116,316,AND,2011,100.0,1
117,316,AND,2012,100.0,1
118,316,AND,2013,100.0,1
119,316,AND,2014,100.0,1
120,316,AND,2015,100.0,1
121,316,AND,2016,100.0,1
122,316,AND,2017,100.0,1
123,316,AND,2018,100.0,1
124,316,AND,2019,100.0,1
125,316,AND,2020,100.0,1
126,7,AGO,2000,41.1,1
127,7,AGO,2001,41.7,1
128,7,AGO,2002,41.7,1
129,7,AGO,2003,42.0,1
130,7,AGO,2004,41.9,1
131,7,AGO,2005,42.6,1
132,7,AGO,2006,42.9,1
133,7,AGO,2007,43.5,1
134,7,AGO,2008,43.6,1
135,7,AGO,2009,43.8,1
136,7,AGO,2010,44.3,1
137,7,AGO,2011,44.8,1
138,7,AGO,2012,45.2,1
139,7,AGO,2013,45.8,1
140,7,AGO,2014,46.5,1
141,7,AGO,2015,47.2,1
142,7,AGO,2016,47.8,1
143,7,AGO,2017,48.4,1
144,7,AGO,2018,49.1,1
145,7,AGO,2019,49.5,1
146,7,AGO,2020,50.2,1
147,9,ATG,2000,100.0,1
148,9,ATG,2001,100.0,1
149,9,ATG,2002,100.0,1
150,9,ATG,2003,100.0,1
151,9,ATG,2004,100.0,1
152,9,ATG,2005,100.0,1
153,9,ATG,2006,100.0,1
154,9,ATG,2007,100.0,1
155,9,ATG,2008,100.0,1
156,9,ATG,2009,100.0,1
157,9,ATG,2010,100.0,1
158,9,ATG,2011,100.0,1
159,9,ATG,2012,100.0,1
160,9,ATG,2013,100.0,1
161,9,ATG,2014,100.0,1
162,9,ATG,2015,100.0,1
163,9,ATG,2016,100.0,1
164,9,ATG,2017,100.0,1
165,9,ATG,2018,100.0,1
166,9,ATG,2019,100.0,1
167,9,ATG,2020,100.0,1
168,10,ARG,2000,95.0,1
169,10,ARG,2001,95.6,1
170,10,ARG,2002,96.1,1
171,10,ARG,2003,96.45,1
172,10,ARG,2004,97.2,1
173,10,ARG,2005,97.5,1
174,10,ARG,2006,98.1,1
175,10,ARG,2007,98.3,1
176,10,ARG,2008,98.6,1
177,10,ARG,2009,98.9,1
178,10,ARG,2010,99.1,1
179,10,ARG,2011,99.3,1
180,10,ARG,2012,99.5,1
181,10,ARG,2013,99.6,1
182,10,ARG,2014,99.7,1
183,10,ARG,2015,99.7,1
184,10,ARG,2016,99.8,1
185,10,ARG,2017,99.8,1
186,10,ARG,2018,99.8,1
187,10,ARG,2019,99.9,1
188,10,ARG,2020,99.9,1
189,11,ARM,2000,79.5,1
190,11,ARM,2001,82.2,1
191,11,ARM,2002,84.9,1
192,11,ARM,2003,87.7,1
193,11,ARM,2004,89.9,1
194,11,ARM,2005,91.6,1
195,11,ARM,2006,92.9,1
196,11,ARM,2007,94.2,1
197,11,ARM,2008,95.0,1
198,11,ARM,2009,95.7,1
199,11,ARM,2010,96.4,1
200,11,ARM,2011,96.8,1
201,11,ARM,2012,97.2,1
202,11,ARM,2013,97.5,1
203,11,ARM,2014,97.6,1
204,11,ARM,2015,97.8,1
205,11,ARM,2016,97.9,1
206,11,ARM,2017,98.0,1
207,11,ARM,2018,98.0,1
208,11,ARM,2019,98.0,1
209,11,ARM,2020,98.1,1
210,17,AUS,2000,100.0,1
211,17,AUS,2001,100.0,1
212,17,AUS,2002,100.0,1
213,17,AUS,2003,100.0,1
214,17,AUS,2004,100.0,1
215,17,AUS,2005,100.0,1
216,17,AUS,2006,100.0,1
217,17,AUS,2007,100.0,1
218,17,AUS,2008,100.0,1
219,17,AUS,2009,100.0,1
220,17,AUS,2010,100.0,1
221,17,AUS,2011,100.0,1
222,17,AUS,2012,100.0,1
223,17,AUS,2013,100.0,1
224,17,AUS,2014,100.0,1
225,17,AUS,2015,100.0,1
226,17,AUS,2016,100.0,1
227,17,AUS,2017,100.0,1
228,17,AUS,2018,100.0,1
229,17,AUS,2019,100.0,1
230,17,AUS,2020,100.0,1
231,19,AUT,2000,100.0,1
232,19,AUT,2001,100.0,1
233,19,AUT,2002,100.0,1
234,19,AUT,2003,100.0,1
235,19,AUT,2004,100.0,1
236,19,AUT,2005,100.0,1
237,19,AUT,2006,100.0,1
238,19,AUT,2007,100.0,1
239,19,AUT,2008,100.0,1
240,19,AUT,2009,100.0,1
241,19,AUT,2010,100.0,1
242,19,AUT,2011,100.0,1
243,19,AUT,2012,100.0,1
244,19,AUT,2013,100.0,1
245,19,AUT,2014,100.0,1
246,19,AUT,2015,100.0,1
247,19,AUT,2016,100.0,1
248,19,AUT,2017,100.0,1
249,19,AUT,2018,100.0,1
250,19,AUT,2019,100.0,1
251,19,AUT,2020,100.0,1
252,20,AZE,2000,70.3,1
253,20,AZE,2001,73.6,1
254,20,AZE,2002,76.8,1
255,20,AZE,2003,80.3,1
256,20,AZE,2004,82.9,1
257,20,AZE,2005,85.2,1
258,20,AZE,2006,87.4,1
259,20,AZE,2007,89.4,1
260,20,AZE,2008,90.7,1
261,20,AZE,2009,92.1,1
262,20,AZE,2010,93.1,1
263,20,AZE,2011,94.0,1
264,20,AZE,2012,94.7,1
265,20,AZE,2013,95.2,1
266,20,AZE,2014,95.5,1
267,20,AZE,2015,95.9,1
268,20,AZE,2016,96.2,1
269,20,AZE,2017,96.4,1
270,20,AZE,2018,96.6,1
271,20,AZE,2019,96.7,1
272,20,AZE,2020,96.8,1
273,21,BHS,2000,100.0,1
274,21,BHS,2001,100.0,1
275,21,BHS,2002,100.0,1
276,21,BHS,2003,100.0,1
277,21,BHS,2004,100.0,1
278,21,BHS,2005,100.0,1
279,21,BHS,2006,100.0,1
280,21,BHS,2007,100.0,1
281,21,BHS,2008,100.0,1
282,21,BHS,2009,100.0,1
283,21,BHS,2010,100.0,1
284,21,BHS,2011,100.0,1
285,21,BHS,2012,100.0,1
286,21,BHS,2013,100.0,1
287,21,BHS,2014,100.0,1
288,21,BHS,2015,100.0,1
289,21,BHS,2016,100.0,1
290,21,BHS,2017,100.0,1
291,21,BHS,2018,100.0,1
292,21,BHS,2019,100.0,1
293,21,BHS,2020,100.0,1
294,22,BHR,2000,100.0,1
295,22,BHR,2001,100.0,1
296,22,BHR,2002,100.0,1
297,22,BHR,2003,100.0,1
298,22,BHR,2004,100.0,1
299,22,BHR,2005,100.0,1
300,22,BHR,2006,100.0,1
301,22,BHR,2007,100.0,1
302,22,BHR,2008,100.0,1
303,22,BHR,2009,100.0,1
304,22,BHR,2010,100.0,1
305,22,BHR,2011,100.0,1
306,22,BHR,2012,100.0,1
307,22,BHR,2013,100.0,1
308,22,BHR,2014,100.0,1
309,22,BHR,2015,100.0,1
310,22,BHR,2016,100.0,1
311,22,BHR,2017,100.0,1
312,22,BHR,2018,100.0,1
313,22,BHR,2019,100.0,1
314,22,BHR,2020,100.0,1
315,23,BGD,2000,8.3,1
316,23,BGD,2001,8.3,1
317,23,BGD,2002,8.4,1
318,23,BGD,2003,8.6,1
319,23,BGD,2004,8.9,1
320,23,BGD,2005,9.2,1
321,23,BGD,2006,9.8,1
322,23,BGD,2007,10.3,1
323,23,BGD,2008,11.0,1
324,23,BGD,2009,11.8,1
325,23,BGD,2010,12.7,1
326,23,BGD,2011,13.7,1
327,23,BGD,2012,14.7,1
328,23,BGD,2013,15.8,1
329,23,BGD,2014,17.1,1
330,23,BGD,2015,18.3,1
331,23,BGD,2016,19.3,1
332,23,BGD,2017,20.6,1
333,23,BGD,2018,21.9,1
334,23,BGD,2019,23.4,1
335,23,BGD,2020,25.0,1
336,24,BRB,2000,100.0,1
337,24,BRB,2001,100.0,1
338,24,BRB,2002,100.0,1
339,24,BRB,2003,100.0,1
340,24,BRB,2004,100.0,1
