Id_share-of-the-population-with-access-to-electricity,Id_Entity,Code,Year,AccessToElectricity(%Population),Outlier_AccessToElectricity(%Population)
0,0,AFG,2000,1.613590955734253,0
1,0,AFG,2001,4.074573993682861,0
2,0,AFG,2002,9.409157752990724,0
3,0,AFG,2003,14.738506317138672,0
4,0,AFG,2004,20.06496810913086,0
5,0,AFG,2005,25.390893936157227,0
6,0,AFG,2006,30.718690872192383,1
7,0,AFG,2007,36.05101013183594,1
8,0,AFG,2008,42.400001525878906,1
9,0,AFG,2009,46.74005126953125,1
10,0,AFG,2010,42.70000076293945,1
11,0,AFG,2011,43.22201919555664,1
12,0,AFG,2012,69.0999984741211,1
13,0,AFG,2013,68.2906494140625,1
14,0,AFG,2014,89.5,1
15,0,AFG,2015,71.5,1
16,0,AFG,2016,97.6999969482422,1
17,0,AFG,2017,97.6999969482422,1
18,0,AFG,2018,96.61613464355467,1
19,0,AFG,2019,97.6999969482422,1
20,0,AFG,2020,97.6999969482422,1
21,4,ALB,1990,100.0,1
22,4,ALB,1991,100.0,1
23,4,ALB,1992,100.0,1
24,4,ALB,1993,100.0,1
25,4,ALB,1994,100.0,1
26,4,ALB,1995,100.0,1
27,4,ALB,1996,100.0,1
28,4,ALB,1997,100.0,1
29,4,ALB,1998,100.0,1
30,4,ALB,1999,100.0,1
31,4,ALB,2000,100.0,1
32,4,ALB,2001,100.0,1
33,4,ALB,2002,100.0,1
34,4,ALB,2003,100.0,1
35,4,ALB,2004,100.0,1
36,4,ALB,2005,100.0,1
37,4,ALB,2006,100.0,1
38,4,ALB,2007,100.0,1
39,4,ALB,2008,100.0,1
40,4,ALB,2009,100.0,1
41,4,ALB,2010,100.0,1
42,4,ALB,2011,100.0,1
43,4,ALB,2012,99.9000015258789,1
44,4,ALB,2013,100.0,1
45,4,ALB,2014,99.9499969482422,1
46,4,ALB,2015,99.9800033569336,1
47,4,ALB,2016,99.88999938964844,1
48,4,ALB,2017,99.88999938964844,1
49,4,ALB,2018,100.0,1
50,4,ALB,2019,100.0,1
51,4,ALB,2020,100.0,1
52,5,DZA,2000,98.9730987548828,1
53,5,DZA,2001,98.96687316894533,1
54,5,DZA,2002,98.95305633544922,1
55,5,DZA,2003,98.93401336669922,1
56,5,DZA,2004,98.91207885742188,1
57,5,DZA,2005,98.88961029052734,1
58,5,DZA,2006,98.86901092529295,1
59,5,DZA,2007,98.85293579101562,1
60,5,DZA,2008,99.3000030517578,1
61,5,DZA,2009,98.84518432617188,1
62,5,DZA,2010,98.8589324951172,1
63,5,DZA,2011,98.88803100585938,1
64,5,DZA,2012,98.76466369628906,1
65,5,DZA,2013,99.00220489501952,1
66,5,DZA,2014,99.0870132446289,1
67,5,DZA,2015,99.18666076660156,1
68,5,DZA,2016,99.35025024414062,1
69,5,DZA,2017,99.63549041748048,1
70,5,DZA,2018,99.69783782958984,1
71,5,DZA,2019,99.5,1
72,5,DZA,2020,99.80413055419922,1
73,316,AND,1990,100.0,1
74,316,AND,1991,100.0,1
75,316,AND,1992,100.0,1
76,316,AND,1993,100.0,1
77,316,AND,1994,100.0,1
78,316,AND,1995,100.0,1
79,316,AND,1996,100.0,1
80,316,AND,1997,100.0,1
81,316,AND,1998,100.0,1
82,316,AND,1999,100.0,1
83,316,AND,2000,100.0,1
84,316,AND,2001,100.0,1
85,316,AND,2002,100.0,1
86,316,AND,2003,100.0,1
87,316,AND,2004,100.0,1
88,316,AND,2005,100.0,1
89,316,AND,2006,100.0,1
90,316,AND,2007,100.0,1
91,316,AND,2008,100.0,1
92,316,AND,2009,100.0,1
93,316,AND,2010,100.0,1
94,316,AND,2011,100.0,1
95,316,AND,2012,100.0,1
96,316,AND,2013,100.0,1
97,316,AND,2014,100.0,1
98,316,AND,2015,100.0,1
99,316,AND,2016,100.0,1
100,316,AND,2017,100.0,1
101,316,AND,2018,100.0,1
102,316,AND,2019,100.0,1
103,316,AND,2020,100.0,1
104,7,AGO,2000,24.212743759155277,0
105,7,AGO,2001,20.0,0
106,7,AGO,2002,26.35211753845215,0
107,7,AGO,2003,27.412776947021484,0
108,7,AGO,2004,28.47055053710937,1
109,7,AGO,2005,29.52778625488281,1
110,7,AGO,2006,30.586894989013672,1
111,7,AGO,2007,37.5,1
112,7,AGO,2008,38.4900016784668,1
113,7,AGO,2009,33.802188873291016,1
114,7,AGO,2010,34.89563751220703,1
115,7,AGO,2011,34.599998474121094,1
116,7,AGO,2012,37.13132095336914,1
117,7,AGO,2013,38.27803039550781,1
118,7,AGO,2014,32.0,1
119,7,AGO,2015,42.0,1
120,7,AGO,2016,41.81312942504883,1
121,7,AGO,2017,43.01325988769531,1
122,7,AGO,2018,45.290000915527344,1
123,7,AGO,2019,45.642799377441406,1
124,7,AGO,2020,46.89060974121094,1
125,9,ATG,1990,95.76304626464844,1
126,9,ATG,1991,95.9406509399414,1
127,9,ATG,1992,96.11813354492188,1
128,9,ATG,1993,96.2949447631836,1
129,9,ATG,1994,96.47039031982422,1
130,9,ATG,1995,96.643798828125,1
131,9,ATG,1996,96.81448364257812,1
132,9,ATG,1997,96.98177337646484,1
133,9,ATG,1998,97.14498138427734,1
134,9,ATG,1999,97.30335235595705,1
135,9,ATG,2000,97.68926239013672,1
136,9,ATG,2001,97.7852554321289,1
137,9,ATG,2002,100.0,1
138,9,ATG,2003,97.95682525634766,1
139,9,ATG,2004,98.03710174560548,1
140,9,ATG,2005,92.1999969482422,1
141,9,ATG,2006,100.0,1
142,9,ATG,2007,100.0,1
143,9,ATG,2008,100.0,1
144,9,ATG,2009,98.48127746582033,1
145,9,ATG,2010,98.59723663330078,1
146,9,ATG,2011,94.55201721191406,1
147,9,ATG,2012,100.0,1
148,9,ATG,2013,100.0,1
149,9,ATG,2014,100.0,1
150,9,ATG,2015,100.0,1
151,9,ATG,2016,100.0,1
152,9,ATG,2017,100.0,1
153,9,ATG,2018,100.0,1
154,9,ATG,2019,100.0,1
155,9,ATG,2020,100.0,1
156,10,ARG,1990,92.15480041503906,1
157,10,ARG,1991,92.4921875,1
158,10,ARG,1992,92.82945251464844,1
159,10,ARG,1993,93.16604614257812,1
160,10,ARG,1994,93.50127410888672,1
161,10,ARG,1995,93.83446502685548,1
162,10,ARG,1996,94.1649398803711,1
163,10,ARG,1997,94.49201202392578,1
164,10,ARG,1998,94.81500244140624,1
165,10,ARG,1999,95.1331558227539,1
166,10,ARG,2000,95.78328704833984,1
167,10,ARG,2001,95.51106262207033,1
168,10,ARG,2002,96.22886657714844,1
169,10,ARG,2003,96.44263458251952,1
170,10,ARG,2004,96.65350341796876,1
171,10,ARG,2005,96.86384582519533,1
172,10,ARG,2006,97.07605743408205,1
173,10,ARG,2007,97.29279327392578,1
174,10,ARG,2008,97.51675415039062,1
175,10,ARG,2009,97.75065612792967,1
176,10,ARG,2010,98.81999969482422,1
177,10,ARG,2011,99.09535217285156,1
178,10,ARG,2012,99.22998046875,1
179,10,ARG,2013,99.3426742553711,1
180,10,ARG,2014,100.0,1
181,10,ARG,2015,99.6253890991211,1
182,10,ARG,2016,99.84957885742188,1
183,10,ARG,2017,100.0,1
184,10,ARG,2018,99.98957824707033,1
185,10,ARG,2019,100.0,1
186,10,ARG,2020,100.0,1
187,11,ARM,2000,98.9000015258789,1
188,11,ARM,2001,100.0,1
189,11,ARM,2002,98.0,1
190,11,ARM,2003,99.19013214111328,1
191,11,ARM,2004,99.1892318725586,1
192,11,ARM,2005,99.8000030517578,1
193,11,ARM,2006,99.188232421875,1
194,11,ARM,2007,99.19318389892578,1
195,11,ARM,2008,99.20537567138672,1
196,11,ARM,2009,99.22750091552734,1
197,11,ARM,2010,99.8000030517578,1
198,11,ARM,2011,99.60579681396484,1
199,11,ARM,2012,99.62896728515624,1
200,11,ARM,2013,99.41999816894533,1
201,11,ARM,2014,99.70999908447266,1
202,11,ARM,2015,100.0,1
203,11,ARM,2016,99.8000030517578,1
204,11,ARM,2017,99.6999969482422,1
205,11,ARM,2018,99.9000015258789,1
206,11,ARM,2019,100.0,1
207,11,ARM,2020,100.0,1
208,12,ABW,1990,100.0,1
209,12,ABW,1991,99.15365600585938,1
210,12,ABW,1992,99.19712829589844,1
211,12,ABW,1993,99.23991394042967,1
212,12,ABW,1994,100.0,1
213,12,ABW,1995,100.0,1
214,12,ABW,1996,100.0,1
215,12,ABW,1997,100.0,1
216,12,ABW,1998,100.0,1
217,12,ABW,1999,100.0,1
218,12,ABW,2000,91.660400390625,1
219,12,ABW,2001,100.0,1
220,12,ABW,2002,100.0,1
221,12,ABW,2003,100.0,1
222,12,ABW,2004,100.0,1
223,12,ABW,2005,100.0,1
224,12,ABW,2006,100.0,1
225,12,ABW,2007,100.0,1
226,12,ABW,2008,100.0,1
227,12,ABW,2009,100.0,1
228,12,ABW,2010,93.35629272460938,1
229,12,ABW,2011,100.0,1
230,12,ABW,2012,100.0,1
231,12,ABW,2013,100.0,1
232,12,ABW,2014,100.0,1
233,12,ABW,2015,100.0,1
234,12,ABW,2016,100.0,1
235,12,ABW,2017,100.0,1
236,12,ABW,2018,100.0,1
237,12,ABW,2019,100.0,1
238,12,ABW,2020,100.0,1
239,17,AUS,1990,100.0,1
240,17,AUS,1991,100.0,1
241,17,AUS,1992,100.0,1
242,17,AUS,1993,100.0,1
243,17,AUS,1994,100.0,1
244,17,AUS,1995,100.0,1
245,17,AUS,1996,100.0,1
246,17,AUS,1997,100.0,1
247,17,AUS,1998,100.0,1
248,17,AUS,1999,100.0,1
249,17,AUS,2000,100.0,1
250,17,AUS,2001,100.0,1
251,17,AUS,2002,100.0,1
252,17,AUS,2003,100.0,1
253,17,AUS,2004,100.0,1
254,17,AUS,2005,100.0,1
255,17,AUS,2006,100.0,1
256,17,AUS,2007,100.0,1
257,17,AUS,2008,100.0,1
258,17,AUS,2009,100.0,1
259,17,AUS,2010,100.0,1
260,17,AUS,2011,100.0,1
261,17,AUS,2012,100.0,1
262,17,AUS,2013,100.0,1
263,17,AUS,2014,100.0,1
264,17,AUS,2015,100.0,1
265,17,AUS,2016,100.0,1
266,17,AUS,2017,100.0,1
267,17,AUS,2018,100.0,1
268,17,AUS,2019,100.0,1
269,17,AUS,2020,100.0,1
270,19,AUT,1990,100.0,1
271,19,AUT,1991,100.0,1
272,19,AUT,1992,100.0,1
273,19,AUT,1993,100.0,1
274,19,AUT,1994,100.0,1
275,19,AUT,1995,100.0,1
276,19,AUT,1996,100.0,1
277,19,AUT,1997,100.0,1
278,19,AUT,1998,100.0,1
279,19,AUT,1999,100.0,1
280,19,AUT,2000,100.0,1
281,19,AUT,2001,100.0,1
282,19,AUT,2002,100.0,1
283,19,AUT,2003,100.0,1
284,19,AUT,2004,100.0,1
285,19,AUT,2005,100.0,1
286,19,AUT,2006,100.0,1
287,19,AUT,2007,100.0,1
288,19,AUT,2008,100.0,1
289,19,AUT,2009,100.0,1
290,19,AUT,2010,100.0,1
291,19,AUT,2011,100.0,1
292,19,AUT,2012,100.0,1
293,19,AUT,2013,100.0,1
294,19,AUT,2014,100.0,1
295,19,AUT,2015,100.0,1
296,19,AUT,2016,100.0,1
297,19,AUT,2017,100.0,1
298,19,AUT,2018,100.0,1
299,19,AUT,2019,100.0,1
300,19,AUT,2020,100.0,1
301,20,AZE,1999,97.0,1
302,20,AZE,2000,98.9082260131836,1
303,20,AZE,2001,98.6218032836914,1
304,20,AZE,2002,100.0,1
305,20,AZE,2003,98.9274673461914,1
306,20,AZE,2004,99.07479858398438,1
307,20,AZE,2005,99.22159576416016,1
308,20,AZE,2006,99.5,1
309,20,AZE,2007,99.52345275878906,1
310,20,AZE,2008,99.68386840820312,1
311,20,AZE,2009,99.8542251586914,1
312,20,AZE,2010,99.94379425048828,1
313,20,AZE,2011,99.9000015258789,1
314,20,AZE,2012,100.0,1
315,20,AZE,2013,100.0,1
316,20,AZE,2014,100.0,1
317,20,AZE,2015,100.0,1
318,20,AZE,2016,100.0,1
319,20,AZE,2017,100.0,1
320,20,AZE,2018,100.0,1
321,20,AZE,2019,100.0,1
322,20,AZE,2020,100.0,1
323,21,BHS,1990,100.0,1
324,21,BHS,1991,100.0,1
325,21,BHS,1992,100.0,1
326,21,BHS,1993,100.0,1
327,21,BHS,1994,100.0,1
328,21,BHS,1995,100.0,1
329,21,BHS,1996,100.0,1
330,21,BHS,1997,100.0,1
331,21,BHS,1998,100.0,1
332,21,BHS,1999,100.0,1
333,21,BHS,2000,100.0,1
334,21,BHS,2001,100.0,1
335,21,BHS,2002,100.0,1
336,21,BHS,2003,100.0,1
337,21,BHS,2004,100.0,1
338,21,BHS,2005,100.0,1
339,21,BHS,2006,100.0,1
340,21,BHS,2007,100.0,1
341,21,BHS,2008,100.0,1
342,21,BHS,2009,100.0,1
343,21,BHS,2010,100.0,1
344,21,BHS,2011,100.0,1
345,21,BHS,2012,100.0,1
346,21,BHS,2013,100.0,1
347,21,BHS,2014,100.0,1
348,21,BHS,2015,100.0,1
349,21,BHS,2016,100.0,1
350,21,BHS,2017,100.0,1
351,21,BHS,2018,100.0,1
352,21,BHS,2019,100.0,1
353,21,BHS,2020,100.0,1
354,22,BHR,1990,99.94139862060548,1
355,22,BHR,1991,99.96739196777344,1
356,22,BHR,1992,99.9871826171875,1
357,22,BHR,1993,99.99713897705078,1
358,22,BHR,1994,99.99977111816406,1
359,22,BHR,1995,100.0,1
360,22,BHR,1996,100.0,1
361,22,BHR,1997,100.0,1
362,22,BHR,1998,100.0,1
363,22,BHR,1999,100.0,1
364,22,BHR,2000,100.0,1
365,22,BHR,2001,100.0,1
366,22,BHR,2002,100.0,1
367,22,BHR,2003,100.0,1
368,22,BHR,2004,100.0,1
369,22,BHR,2005,100.0,1
370,22,BHR,2006,100.0,1
371,22,BHR,2007,100.0,1
372,22,BHR,2008,100.0,1
373,22,BHR,2009,100.0,1
374,22,BHR,2010,100.0,1
375,22,BHR,2011,100.0,1
376,22,BHR,2012,100.0,1
377,22,BHR,2013,100.0,1
378,22,BHR,2014,100.0,1
379,22,BHR,2015,100.0,1
380,22,BHR,2016,100.0,1
381,22,BHR,2017,100.0,1
382,22,BHR,2018,100.0,1
383,22,BHR,2019,100.0,1
384,22,BHR,2020,100.0,1
385,23,BGD,1991,14.289999961853027,0
386,23,BGD,1992,9.90541934967041,0
